index,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Count,Global_Sales
4511,2003.0,0.21,0.16,0.0,0.06,68.0,27.0,16.0,0.43
9742,2003.0,0.09,0.03,0.0,0.0,74.0,20.0,11.0,0.12
13,2007.0,8.92,8.03,3.6,2.15,80.0,63.0,146.0,22.7
7327,2004.0,0.1,0.08,0.0,0.03,76.0,44.0,14.0,0.21
2695,2004.0,0.37,0.29,0.0,0.1,65.0,47.0,30.0,0.76
2181,2010.0,0.29,0.33,0.2,0.13,68.0,56.0,62.0,0.95
1054,2006.0,1.41,0.05,0.0,0.23,87.0,18.0,23.0,1.7
16122,2016.0,0.0,0.01,0.0,0.0,90.0,6.0,52.0,0.01
9161,2002.0,0.07,0.05,0.0,0.02,67.0,23.0,16.0,0.14
14440,2002.0,0.02,0.01,0.0,0.0,72.0,7.0,4.0,0.03
5597,2005.0,0.28,0.01,0.0,0.03,75.0,43.0,21.0,0.32
5281,2009.0,0.32,0.01,0.0,0.03,79.0,8.0,16.0,0.35
5509,2006.0,0.25,0.07,0.0,0.01,74.0,5.0,12.0,0.33
1205,2001.0,0.57,0.87,0.02,0.09,74.0,15.0,35.0,1.55
12056,2013.0,0.0,0.01,0.06,0.0,55.0,32.0,45.0,0.07
493,2013.0,1.88,0.77,0.0,0.27,78.0,7.0,700.0,2.92
2388,2008.0,0.73,0.03,0.0,0.12,68.0,20.0,105.0,0.87
7089,2005.0,0.19,0.02,0.0,0.02,79.0,23.0,44.0,0.23
2894,2005.0,0.53,0.15,0.0,0.03,77.0,41.0,16.0,0.71
7707,2001.0,0.1,0.07,0.0,0.02,57.0,11.0,4.0,0.2
7373,2006.0,0.2,0.0,0.0,0.02,70.0,9.0,10.0,0.21
5350,1999.0,0.0,0.0,0.34,0.0,98.0,24.0,200.0,0.34
289,2016.0,1.1,2.15,0.21,0.61,88.0,31.0,809.0,4.08
6409,2008.0,0.24,0.0,0.0,0.02,59.0,4.0,6.0,0.27
241,2006.0,3.63,0.24,0.01,0.61,84.0,29.0,39.0,4.49
1468,2010.0,0.66,0.5,0.05,0.13,83.0,100.0,1156.0,1.33
8892,2002.0,0.11,0.04,0.0,0.0,83.0,17.0,10.0,0.15
4548,2002.0,0.33,0.09,0.0,0.01,88.0,15.0,7.0,0.42
11590,2008.0,0.0,0.06,0.0,0.01,80.0,20.0,272.0,0.08
7667,2009.0,0.12,0.05,0.0,0.03,65.0,52.0,27.0,0.2
2171,2012.0,0.41,0.32,0.09,0.12,79.0,18.0,156.0,0.95
10706,2001.0,0.08,0.02,0.0,0.0,39.0,11.0,11.0,0.1
1757,2007.0,0.53,0.48,0.01,0.12,78.0,32.0,66.0,1.15
6528,2009.0,0.24,0.0,0.0,0.02,77.0,29.0,26.0,0.26
10343,2009.0,0.07,0.03,0.0,0.01,82.0,11.0,7.0,0.11
14012,2015.0,0.0,0.0,0.04,0.0,72.0,14.0,25.0,0.04
11645,2007.0,0.07,0.0,0.0,0.01,51.0,20.0,9.0,0.08
1657,2002.0,1.03,0.14,0.0,0.04,86.0,41.0,184.0,1.21
2905,2009.0,0.23,0.14,0.3,0.04,78.0,51.0,79.0,0.7
7699,2005.0,0.1,0.07,0.0,0.03,47.0,14.0,76.0,0.2
3896,2006.0,0.47,0.0,0.0,0.04,64.0,9.0,4.0,0.51
13034,2003.0,0.04,0.01,0.0,0.0,71.0,8.0,5.0,0.05
3422,2009.0,0.17,0.18,0.2,0.04,82.0,53.0,39.0,0.59
1342,2004.0,0.0,0.0,1.39,0.03,84.0,14.0,44.0,1.43
12423,2007.0,0.06,0.0,0.0,0.0,55.0,14.0,4.0,0.06
8442,2004.0,0.12,0.04,0.0,0.01,62.0,49.0,13.0,0.17
1220,2011.0,0.42,0.65,0.33,0.14,64.0,28.0,13.0,1.53
9641,2003.0,0.09,0.03,0.0,0.0,79.0,41.0,15.0,0.13
8180,2006.0,0.14,0.02,0.0,0.02,67.0,43.0,25.0,0.18
14053,2005.0,0.02,0.01,0.0,0.0,45.0,25.0,8.0,0.04
2992,2007.0,0.63,0.0,0.0,0.05,69.0,7.0,5.0,0.68
2059,2009.0,0.93,0.0,0.0,0.07,67.0,12.0,6.0,1.0
1386,2014.0,0.5,0.78,0.01,0.11,86.0,85.0,977.0,1.4
13620,2006.0,0.0,0.04,0.0,0.01,86.0,9.0,115.0,0.04
8574,2006.0,0.12,0.0,0.03,0.01,75.0,33.0,49.0,0.16
4697,2010.0,0.19,0.15,0.0,0.06,76.0,41.0,24.0,0.41
5174,2016.0,0.17,0.1,0.07,0.03,69.0,82.0,662.0,0.36
10798,2007.0,0.08,0.0,0.0,0.01,62.0,25.0,32.0,0.1
6376,2006.0,0.21,0.05,0.0,0.01,66.0,15.0,8.0,0.27
445,2010.0,1.52,1.03,0.1,0.46,82.0,57.0,492.0,3.11
10077,2002.0,0.09,0.02,0.0,0.0,52.0,17.0,8.0,0.11
853,2008.0,1.05,0.66,0.0,0.29,88.0,67.0,545.0,2.0
10181,2007.0,0.09,0.01,0.0,0.01,55.0,23.0,7.0,0.11
4875,2011.0,0.14,0.0,0.25,0.01,69.0,9.0,8.0,0.39
4866,2012.0,0.2,0.16,0.0,0.03,61.0,4.0,10.0,0.39
14916,2005.0,0.01,0.01,0.0,0.0,62.0,26.0,9.0,0.03
1817,2015.0,0.53,0.33,0.17,0.08,73.0,73.0,179.0,1.12
9950,2012.0,0.05,0.05,0.0,0.02,54.0,39.0,30.0,0.12
